study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
chart,0,0,0,1,5.0046198,,,,,,,,,,,,0,0,0,6,,,,,0.0422448,,0.0245267,0.0422448,0.0422448,5.0452729,1,5.0046198,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
mouse ,1,1,0,1,1.5770081,,,,,,,,,,,,0,1,1,8,,,,,5.0605412,,5.0519214,5.0605412,5.0605412,6.6456407,1,1.5770081,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
case,2,2,0,1,1.1646543,,,,,,,,,,,,0,2,2,10,,,,,6.6608432,,6.6483823,6.6608432,6.6608432,7.8287161,1,1.1646543,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
t-shirt,3,3,0,1,1.7972704,,,,,,,,,,,,0,3,3,7,,,,,7.8438068,,7.8331856,7.8438068,7.8438068,9.6455465,1,1.7972704,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
keys,4,4,0,1,1.4797175,,,,,,,,,,,,0,4,4,13,,,,,9.6608302,,9.6510507,9.6608302,9.6608302,11.1449796,1,1.4797175,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
cushion,5,5,0,1,2.1967659,,,,,,,,,,,,0,5,5,1,,,,,11.1611255,,11.1490059,11.1611255,11.1611255,13.3621131,1,2.1967659,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
book,6,6,0,1,1.5004422,,,,,,,,,,,,0,6,6,0,,,,,13.3774839,,13.3641015,13.3774839,13.3774839,14.879458,1,1.5004422,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
poster,7,7,0,1,3.2448915,,,,,,,,,,,,0,7,7,14,,,,,14.8939271,,14.8841012,14.8939271,14.8939271,18.1455374,1,3.2448915,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
police,8,8,0,1,1.0640973,,,,,,,,,,,,0,8,8,12,,,,,18.1609941,,18.1479736,18.1609941,18.1609941,19.228538,1,1.0640973,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
board,9,9,0,1,3.5796001,,,,,,,,,,,,0,9,9,4,,,,,19.2442618,,19.2323923,19.2442618,19.2442618,22.8282248,1,3.5796001,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
pastry,10,10,0,1.897777778,1.783246,,,,,,,,,,,,0,10,10,9,,,,,22.8442558,,22.829931,22.8442558,22.8442558,24.6292892,1.897777778,1.783246,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
laptop,11,11,0,1,2.1119859,,,,,,,,,,,,0,11,11,5,,,,,24.6443009,,24.6329711,24.6443009,24.6443009,26.7614544,1,2.1119859,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
phone ,12,12,0,1,2.3319037,,,,,,,,,,,,0,12,12,2,,,,,26.7773475,,26.7640875,26.7773475,26.7773475,29.1118387,1,2.3319037,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
cruise,13,13,0,1.982222222,2.2154445,,,,,,,,,,,,0,13,13,11,,,,,29.1280387,,29.1149709,29.1280387,29.1280387,31.3453914,1.982222222,2.2154445,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
marble,14,14,0,1.982222222,1.1639903,,,,,,,,,,,,0,14,14,3,,,,,31.3604899,,31.349011,31.3604899,31.3604899,32.5290137,1.982222222,1.1639903,,,,,,,,,,,,,,,,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
,0,0,0,,,bo_t_e,bottle,new,bottle,[],[],[],[],[],[],[],,,,,0,0,0,18,32.5601514,,,,,,,,32.5430576,32.5601514,32.5601514,32.5601514,0.0140311,42.5451,bottl,[],[],[],[],[],[],[],,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
,1,1,0,,,p_st_y,pastry,old,"pastry
",[np.float64(0.07333333333333333)],[np.float64(0.016666666666666666)],[1],[0],[0],[2.3125071998219937],[None],,,,,0,1,1,4,42.5606334,,,,,,,,42.5494391,42.5606334,42.5606334,42.5606334,0.0204236,52.5436344,"pastry
",[np.float64(0.07333333333333333)],[np.float64(0.016666666666666666)],[1],[0],[0],[2.3125071998219937],[None],,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
,2,2,0,,,c_s_,case,old,case,[np.float64(-0.02)],[np.float64(-0.31666666666666665)],[1],[0],[0],[5.619069200009108],['text_3'],,,,,0,2,2,5,52.5598769,,,,,,,,52.5466478,52.5598769,52.5598769,52.5598769,0.0176276,58.1660132,caser,[np.float64(-0.02)],[np.float64(-0.31666666666666665)],[1],[0],[0],[5.619069200009108],['text_3'],,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
,3,3,0,,,t_hi_t,tshirt,old,t-shirt,[np.float64(0.01)],[np.float64(-0.3011111111111111)],[1],[0],[0],[6.9429601998999715],['text_3'],,,,,0,3,3,2,58.1927769,,,,,,,,58.1689118,58.1927769,58.1927769,58.1927769,0.0027899,65.1122712,t-shirt,[np.float64(0.01)],[np.float64(-0.3011111111111111)],[1],[0],[0],[6.9429601998999715],['text_3'],,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
,4,4,0,,,k_y_,keys,old,keys,[np.float64(0.012222222222222223)],[np.float64(-0.29444444444444445)],[1],[0],[0],[4.946372200036421],['text_3'],,,,,0,4,4,8,65.1266657,,,,,,,,65.1159972,65.1266657,65.1266657,65.1266657,0.0034436,70.0628742,keys,[np.float64(0.012222222222222223)],[np.float64(-0.29444444444444445)],[1],[0],[0],[4.946372200036421],['text_3'],,,,,1,1,2025-10-09_12h18.44.713,Word Priming,,2025.1.1,58.86691779,2025-10-09 12h18.50.784177 +0530
