study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
marble,0,0,0,1,3.9561388,,,,,,,,,,,,0,0,0,3,,,,,0.041998,,0.0232509,0.041998,0.041998,3.9948865,1,3.9561388,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
pastry,1,1,0,1,2.0975124,,,,,,,,,,,,0,1,1,9,,,,,4.0111562,,3.9983081,4.0111562,4.0111562,6.111812,1,2.0975124,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
t-shirt,2,2,0,1,2.397534,,,,,,,,,,,,0,2,2,7,,,,,6.1276442,,6.1160823,6.1276442,6.1276442,8.5291695,1,2.397534,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
cushion,3,3,0,1,1.3970764,,,,,,,,,,,,0,3,3,1,,,,,8.5444633,,8.5324312,8.5444633,8.5444633,9.9452612,1,1.3970764,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
case,4,4,0,1,1.2167024,,,,,,,,,,,,0,4,4,10,,,,,9.961507,,9.9471133,9.961507,9.961507,11.1795094,1,1.2167024,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
keys,5,5,0,1,0.9823701,,,,,,,,,,,,0,5,5,13,,,,,11.1951823,,11.1825133,11.1951823,11.1951823,12.1799862,1,0.9823701,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
police,6,6,0,1,1.0960908,,,,,,,,,,,,0,6,6,12,,,,,12.1946429,,12.1837333,12.1946429,12.1946429,13.2968256,1,1.0960908,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
board,7,7,0,1,1.094648,,,,,,,,,,,,0,7,7,4,,,,,13.3108276,,13.3021921,13.3108276,13.3108276,14.4128122,1,1.094648,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
cruise,8,8,0,1,1.3471778,,,,,,,,,,,,0,8,8,11,,,,,14.4285844,,14.4156217,14.4285844,14.4285844,15.7786307,1,1.3471778,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
chart,9,9,0,1,1.4989572,,,,,,,,,,,,0,9,9,6,,,,,15.7945364,,15.7807538,15.7945364,15.7945364,17.2956673,1,1.4989572,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
mouse ,10,10,0,1,1.5482155,,,,,,,,,,,,0,10,10,8,,,,,17.3109137,,17.2980365,17.3109137,17.3109137,18.8623637,1,1.5482155,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
phone ,11,11,0,1,0.7813895,,,,,,,,,,,,0,11,11,2,,,,,18.8780906,,18.8656581,18.8780906,18.8780906,19.6627834,1,0.7813895,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
book,12,12,0,1,0.7980357,,,,,,,,,,,,0,12,12,0,,,,,19.6776863,,19.6655486,19.6776863,19.6776863,20.4786481,1,0.7980357,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
laptop,13,13,0,1,0.816818,,,,,,,,,,,,0,13,13,5,,,,,20.494124,,20.4807094,20.494124,20.494124,21.3123481,1,0.816818,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
poster,14,14,0,1,1.0148012,,,,,,,,,,,,0,14,14,14,,,,,21.3281028,,21.3144956,21.3281028,21.3281028,22.3457041,1,1.0148012,,,,,,,,,,,,,,,,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,0,0,0,,,_a_bl_,marble,old,table,[],[],[],[],[],[],[],,,,,0,0,0,11,22.3772122,,,,,,,,22.3532445,22.3772122,22.3772122,22.3772122,0.0075388,32.3620357,table,[],[],[],[],[],[],[],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,1,1,0,,,p_li_e,police,old,police,[np.float64(-0.11222222222222222)],[np.float64(-0.31)],[1],[0],[0],[7.847393099917099],['text_3'],,,,,0,1,1,7,32.3775417,,,,,,,,32.3655956,32.3775417,32.3775417,32.3775417,0.0199074,40.213294,police,[np.float64(-0.11222222222222222)],[np.float64(-0.31)],[1],[0],[0],[7.847393099917099],['text_3'],,,,,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
,2,2,0,,,c_m_ra,camera,new,,[],[],[],[],[],[],[],,,,,0,2,2,19,40.2276614,,,,,,,,40.2162681,40.2276614,40.2276614,40.2276614,0.0028255,50.2109426,,[],[],[],[],[],[],[],50.2275183,50.2275183,50.2275183,9.9972843,3,1,2025-10-09_12h46.40.587,Word Priming,,2025.1.1,60.0434354,2025-10-09 12h46.46.520906 +0530
